127.0.0.1 - - [05/Jun/2018:17:02:40 +0200] "GET / HTTP/1.1" 404 1004
0:0:0:0:0:0:0:1 - - [05/Jun/2018:17:02:40 +0200] "GET /Spring11-MVCHibernate/css/style.css HTTP/1.1" 404 1002
0:0:0:0:0:0:0:1 - - [05/Jun/2018:17:02:40 +0200] "GET /Spring11-MVCHibernate/css/themify-icons.css HTTP/1.1" 404 1002
0:0:0:0:0:0:0:1 - - [05/Jun/2018:17:02:40 +0200] "GET /Spring11-MVCHibernate/css/bootstrap.min.css HTTP/1.1" 404 1002
0:0:0:0:0:0:0:1 - - [05/Jun/2018:17:02:40 +0200] "GET /Spring11-MVCHibernate/js/jquery-3.2.1.min.js HTTP/1.1" 404 1002
0:0:0:0:0:0:0:1 - - [05/Jun/2018:17:02:40 +0200] "GET /Spring11-MVCHibernate/js/bootstrap.min.js HTTP/1.1" 404 1002
0:0:0:0:0:0:0:1 - - [05/Jun/2018:17:02:40 +0200] "GET /Spring11-MVCHibernate/css/set1.css HTTP/1.1" 404 1002
0:0:0:0:0:0:0:1 - - [05/Jun/2018:17:02:40 +0200] "GET /Spring11-MVCHibernate/css/simple-line-icons.css HTTP/1.1" 404 1002
0:0:0:0:0:0:0:1 - - [05/Jun/2018:17:02:40 +0200] "GET /Spring11-MVCHibernate/js/popper.min.js HTTP/1.1" 404 1002
0:0:0:0:0:0:0:1 - - [05/Jun/2018:17:02:43 +0200] "GET /Spring11-MVCHibernate/mostrar HTTP/1.1" 500 14682
0:0:0:0:0:0:0:1 - - [05/Jun/2018:17:07:55 +0200] "GET /Spring11-MVCHibernate/ HTTP/1.1" 200 7222
0:0:0:0:0:0:0:1 - - [05/Jun/2018:17:07:55 +0200] "GET /Spring11-MVCHibernate/mostrar HTTP/1.1" 200 569
0:0:0:0:0:0:0:1 - - [05/Jun/2018:17:07:56 +0200] "GET /Spring11-MVCHibernate/resources/css/estilos.css HTTP/1.1" 404 1002
0:0:0:0:0:0:0:1 - - [05/Jun/2018:17:07:59 +0200] "GET /Spring11-MVCHibernate/ HTTP/1.1" 200 7222
0:0:0:0:0:0:0:1 - - [05/Jun/2018:17:07:59 +0200] "GET /Spring11-MVCHibernate/ HTTP/1.1" 200 7222
0:0:0:0:0:0:0:1 - - [05/Jun/2018:17:08:00 +0200] "GET /Spring11-MVCHibernate/css/bootstrap.min.css HTTP/1.1" 404 1002
0:0:0:0:0:0:0:1 - - [05/Jun/2018:17:08:00 +0200] "GET /Spring11-MVCHibernate/css/simple-line-icons.css HTTP/1.1" 404 1002
0:0:0:0:0:0:0:1 - - [05/Jun/2018:17:08:00 +0200] "GET /Spring11-MVCHibernate/css/themify-icons.css HTTP/1.1" 404 1002
0:0:0:0:0:0:0:1 - - [05/Jun/2018:17:08:00 +0200] "GET /Spring11-MVCHibernate/css/set1.css HTTP/1.1" 404 1002
0:0:0:0:0:0:0:1 - - [05/Jun/2018:17:08:00 +0200] "GET /Spring11-MVCHibernate/js/jquery-3.2.1.min.js HTTP/1.1" 404 1002
0:0:0:0:0:0:0:1 - - [05/Jun/2018:17:08:00 +0200] "GET /Spring11-MVCHibernate/css/style.css HTTP/1.1" 404 1002
0:0:0:0:0:0:0:1 - - [05/Jun/2018:17:08:00 +0200] "GET /Spring11-MVCHibernate/js/popper.min.js HTTP/1.1" 404 1002
0:0:0:0:0:0:0:1 - - [05/Jun/2018:17:08:00 +0200] "GET /Spring11-MVCHibernate/js/bootstrap.min.js HTTP/1.1" 404 1002
0:0:0:0:0:0:0:1 - - [05/Jun/2018:17:08:00 +0200] "GET /Spring11-MVCHibernate/js/popper.min.js HTTP/1.1" 404 1002
0:0:0:0:0:0:0:1 - - [05/Jun/2018:17:08:00 +0200] "GET /Spring11-MVCHibernate/js/bootstrap.min.js HTTP/1.1" 404 1002
0:0:0:0:0:0:0:1 - - [05/Jun/2018:17:08:01 +0200] "GET /Spring11-MVCHibernate/mostrar HTTP/1.1" 200 569
0:0:0:0:0:0:0:1 - - [05/Jun/2018:17:08:01 +0200] "GET /Spring11-MVCHibernate/resources/css/estilos.css HTTP/1.1" 404 1002
