127.0.0.1 - - [06/Jun/2018:13:44:21 +0200] "GET / HTTP/1.1" 404 1004
0:0:0:0:0:0:0:1 - - [06/Jun/2018:13:44:24 +0200] "GET /Spring11-MVCHibernate/ HTTP/1.1" 200 3957
0:0:0:0:0:0:0:1 - - [06/Jun/2018:13:44:24 +0200] "GET /Spring11-MVCHibernate/resources/css/bootstrap.min.css;jsessionid=2CED156BB0DA6444CDC11F930F708ABD HTTP/1.1" 200 154770
0:0:0:0:0:0:0:1 - - [06/Jun/2018:13:44:24 +0200] "GET /Spring11-MVCHibernate/resources/css/simple-line-icons.css;jsessionid=2CED156BB0DA6444CDC11F930F708ABD HTTP/1.1" 200 13736
0:0:0:0:0:0:0:1 - - [06/Jun/2018:13:44:25 +0200] "GET /Spring11-MVCHibernate/resources/css/style.css;jsessionid=2CED156BB0DA6444CDC11F930F708ABD HTTP/1.1" 200 22420
0:0:0:0:0:0:0:1 - - [06/Jun/2018:13:44:25 +0200] "GET /Spring11-MVCHibernate/resources/css/set1.css;jsessionid=2CED156BB0DA6444CDC11F930F708ABD HTTP/1.1" 200 3249
0:0:0:0:0:0:0:1 - - [06/Jun/2018:13:44:25 +0200] "GET /Spring11-MVCHibernate/css/bootstrap.min.css HTTP/1.1" 404 1002
0:0:0:0:0:0:0:1 - - [06/Jun/2018:13:44:25 +0200] "GET /Spring11-MVCHibernate/resources/css/themify-icons.css;jsessionid=2CED156BB0DA6444CDC11F930F708ABD HTTP/1.1" 200 17528
0:0:0:0:0:0:0:1 - - [06/Jun/2018:13:44:25 +0200] "GET /Spring11-MVCHibernate/css/themify-icons.css HTTP/1.1" 404 1002
0:0:0:0:0:0:0:1 - - [06/Jun/2018:13:44:25 +0200] "GET /Spring11-MVCHibernate/css/set1.css HTTP/1.1" 404 1002
0:0:0:0:0:0:0:1 - - [06/Jun/2018:13:44:25 +0200] "GET /style.css HTTP/1.1" 404 1022
0:0:0:0:0:0:0:1 - - [06/Jun/2018:13:44:25 +0200] "GET /Spring11-MVCHibernate/css/simple-line-icons.css HTTP/1.1" 404 1002
0:0:0:0:0:0:0:1 - - [06/Jun/2018:13:44:25 +0200] "GET /Spring11-MVCHibernate/resources/fonts/Simple-Line-Icons.eot?v=2.4.0 HTTP/1.1" 404 1002
